0,2018-06-05 00:11:07,06/05  7:05 PM,L.A. Dodgers,-1½/+140,-1½/+135,-1½/+130,,-1½/+130,,-1½/+135,-1½/+130,-1½/+135
1,2018-06-05 00:11:07,06/05  7:05 PM,Pittsburgh,+1½/-160,+1½/-155,+1½/-150,,+1½/-150,,+1½/-155,+1½/-150,+1½/-155
2,2018-06-05 00:11:07,06/05  8:05 PM,Philadelphia,,,,,,,,,
3,2018-06-05 00:11:07,06/05  8:05 PM,Chi. Cubs,,,,,,,,,
4,2018-06-05 00:11:07,06/05  10:10 PM,Atlanta,-1½/+135,-1½/+120,-1½/+125,,-1½/+120,,-1½/+120,-1½/+125,-1½/+120
5,2018-06-05 00:11:07,06/05  10:10 PM,San Diego,+1½/-155,+1½/-140,+1½/-145,,+1½/-140,,+1½/-140,+1½/-145,+1½/-140
6,2018-06-05 00:11:07,06/05  7:05 PM,N.Y. Yankees,-1½/-105,-1½/-105,-1½/-105,,-1½/-105,,-1½/-110,-1½/-105,-1½/-108
7,2018-06-05 00:11:07,06/05  7:05 PM,Toronto,+1½/-115,+1½/-115,+1½/-115,,+1½/-115,,+1½/-110,+1½/-115,+1½/-112
8,2018-06-05 00:11:07,06/05  8:05 PM,Oakland,-1½/+105,-1½/+105,-1½/+100,,-1½/-100,,-1½/+110,-1½/+105,-1½/+105
9,2018-06-05 00:11:07,06/05  8:05 PM,Texas,+1½/-125,+1½/-125,+1½/-120,,+1½/-120,,+1½/-130,+1½/-125,+1½/-125
10,2018-06-05 00:11:07,06/05  8:10 PM,Chi. White Sox,,,,,,,,,
11,2018-06-05 00:11:07,06/05  8:10 PM,Minnesota,,,,,,,,,
12,2018-06-05 00:11:07,06/05  7:05 PM,Tampa Bay,+1½/+100,+1½/+100,+1½/+100,,+1½/+105,,+1½/-105,+1½/+105,+1½/-105
13,2018-06-05 00:11:07,06/05  7:05 PM,Washington,-1½/-120,-1½/-120,-1½/-120,,-1½/-125,,-1½/-115,-1½/-125,-1½/-115
14,2018-06-05 00:11:07,06/05  7:10 PM,Milwaukee,+1½/-115,+1½/-115,+1½/-115,,+1½/-105,,+1½/-110,+1½/-110,+1½/-115
15,2018-06-05 00:11:07,06/05  7:10 PM,Cleveland,-1½/-105,-1½/-105,-1½/-105,,-1½/-115,,-1½/-110,-1½/-110,-1½/-105
0,2018-06-05 00:11:07,06/05  7:05 PM,L.A. Dodgers,,,-1½/+130,,-1½/+135,-1½/+140,-1½/+135,,-1½/+135
1,2018-06-05 00:11:07,06/05  7:05 PM,Pittsburgh,,,+1½/-150,,+1½/-155,+1½/-160,+1½/-155,,+1½/-155
2,2018-06-05 00:11:07,06/05  8:05 PM,Philadelphia,,,,,,,,,
3,2018-06-05 00:11:07,06/05  8:05 PM,Chi. Cubs,,,,,,,,,
4,2018-06-05 00:11:07,06/05  10:10 PM,Atlanta,,,-1½/+125,,-1½/+125,-1½/+125,-1½/+120,,-1½/+120
5,2018-06-05 00:11:07,06/05  10:10 PM,San Diego,,,+1½/-145,,+1½/-145,+1½/-145,+1½/-140,,+1½/-140
6,2018-06-05 00:11:07,06/05  7:05 PM,N.Y. Yankees,,,-1½/-105,,-1½/-105,-1½/-105,-1½/-105,,-1½/-110
7,2018-06-05 00:11:07,06/05  7:05 PM,Toronto,,,+1½/-115,,+1½/-115,+1½/-115,+1½/-115,,+1½/-110
8,2018-06-05 00:11:07,06/05  8:05 PM,Oakland,,,-1½/-100,,-1½/+100,-1½/+105,-1½/+105,,-1½/+100
9,2018-06-05 00:11:07,06/05  8:05 PM,Texas,,,+1½/-120,,+1½/-120,+1½/-125,+1½/-125,,+1½/-120
10,2018-06-05 00:11:07,06/05  8:10 PM,Chi. White Sox,,,,,,,,,
11,2018-06-05 00:11:07,06/05  8:10 PM,Minnesota,,,,,,,,,
12,2018-06-05 00:11:07,06/05  7:05 PM,Tampa Bay,,,+1½/+100,,+1½/+100,+1½/+105,+1½/+100,,+1½/+100
13,2018-06-05 00:11:07,06/05  7:05 PM,Washington,,,-1½/-120,,-1½/-120,-1½/-125,-1½/-120,,-1½/-120
14,2018-06-05 00:11:07,06/05  7:10 PM,Milwaukee,,,+1½/-115,,+1½/-115,+1½/-115,+1½/-110,,+1½/-110
15,2018-06-05 00:11:07,06/05  7:10 PM,Cleveland,,,-1½/-105,,-1½/-105,-1½/-105,-1½/-110,,-1½/-110
0,2018-06-14 00:39:24,06/14  12:10 PM,San Francisco,+1½/-220,+1½/-230,+1½/-230,,+1½/-210,,+1½/-240,+1½/-240,+1½/-220
1,2018-06-14 00:39:24,06/14  12:10 PM,Miami,-1½/+180,-1½/+190,-1½/+200,,-1½/+180,,-1½/+200,-1½/+190,-1½/+190
2,2018-06-14 00:39:24,06/14  7:35 PM,San Diego,+1½/-185,+1½/-175,+1½/-190,,+1½/-175,,+1½/-180,+1½/-175,+1½/-178
3,2018-06-14 00:39:24,06/14  7:35 PM,Atlanta,-1½/+160,-1½/+155,-1½/+170,,-1½/+155,,-1½/+160,-1½/+155,-1½/+158
4,2018-06-14 00:39:24,06/14  1:10 PM,Minnesota,-1½/+125,-1½/+130,-1½/+120,,-1½/+130,,-1½/+135,-1½/+130,-1½/+132
5,2018-06-14 00:39:24,06/14  1:10 PM,Detroit,+1½/-145,+1½/-150,+1½/-140,,+1½/-150,,+1½/-155,+1½/-150,+1½/-152
6,2018-06-14 00:39:24,06/14  3:35 PM,Houston,-1½/-120,-1½/-115,-1½/-105,,-1½/-120,,-1½/-125,-1½/-120,-1½/-115
7,2018-06-14 00:39:24,06/14  3:35 PM,Oakland,+1½/+100,+1½/-105,+1½/-115,,+1½/-100,,+1½/+105,+1½/+100,+1½/-105
8,2018-06-14 00:39:24,06/14  10:10 PM,Boston,-1½/+120,-1½/+120,-1½/+120,,-1½/+120,,-1½/+120,-1½/+120,-1½/+118
9,2018-06-14 00:39:24,06/14  10:10 PM,Seattle,+1½/-140,+1½/-140,+1½/-140,,+1½/-140,,+1½/-140,+1½/-140,+1½/-138
0,2018-06-14 00:39:24,06/14  12:10 PM,San Francisco,,,+1½/-215,,,+1½/-210,+1½/-220,,+1½/-240
1,2018-06-14 00:39:24,06/14  12:10 PM,Miami,,,-1½/+185,,,-1½/+175,-1½/+185,,-1½/+185
2,2018-06-14 00:39:24,06/14  7:35 PM,San Diego,,,+1½/-175,,+1½/-175,+1½/-180,+1½/-180,,+1½/-180
3,2018-06-14 00:39:24,06/14  7:35 PM,Atlanta,,,-1½/+155,,-1½/+155,-1½/+160,-1½/+160,,-1½/+155
4,2018-06-14 00:39:24,06/14  1:10 PM,Minnesota,,,-1½/+130,,-1½/+125,-1½/+130,-1½/+130,,-1½/+130
5,2018-06-14 00:39:24,06/14  1:10 PM,Detroit,,,+1½/-150,,+1½/-145,+1½/-150,+1½/-150,,+1½/-150
6,2018-06-14 00:39:24,06/14  3:35 PM,Houston,,,-1½/-120,,-1½/-105,-1½/-120,-1½/-120,,-1½/-115
7,2018-06-14 00:39:24,06/14  3:35 PM,Oakland,,,+1½/-100,,+1½/-115,+1½/+100,+1½/+100,,+1½/-105
8,2018-06-14 00:39:24,06/14  10:10 PM,Boston,,,-1½/+120,,-1½/+120,-1½/+120,-1½/+120,,-1½/+115
9,2018-06-14 00:39:24,06/14  10:10 PM,Seattle,,,+1½/-140,,+1½/-140,+1½/-140,+1½/-140,,+1½/-135
